 ,chunk,ID,X (pixels),Y (pixels),Radius (pixels),Score,nCircles,Resolution,Frame (slice #),Method
107,0,106,1934,126,6,0.558,683,233,1,Full
108,0,107,601,211,11,0.558,683,233,1,Full
109,0,108,304,107,7,0.558,683,233,1,Full
110,0,109,710,206,8,0.558,683,233,1,Full
111,0,110,752,644,7,0.558,683,233,1,Full
112,0,111,268,826,7,0.558,683,233,1,Full
113,0,112,430,205,6,0.558,683,233,1,Full
114,0,113,694,250,6,0.558,683,233,1,Full
115,0,114,1193,1882,7,0.558,683,233,1,Full
116,0,115,849,386,6,0.558,683,233,1,Full
117,0,116,915,634,6,0.558,683,233,1,Full
118,0,117,1209,973,6,0.558,683,233,1,Full
119,0,118,143,1703,6,0.558,683,233,1,Full
120,0,119,1412,430,7,0.554,683,233,1,Full
121,0,120,188,77,6,0.554,683,233,1,Full
122,0,121,649,792,8,0.554,683,233,1,Full
123,0,122,1989,1066,7,0.554,683,233,1,Full
124,0,123,744,1901,8,0.554,683,233,1,Full
125,0,124,866,1585,7,0.554,683,233,1,Full
126,0,125,1027,196,10,0.554,683,233,1,Full
127,0,126,1395,491,10,0.554,683,233,1,Full
128,0,127,1476,109,6,0.554,683,233,1,Full
129,0,128,436,1753,7,0.554,683,233,1,Full
130,0,129,388,149,6,0.554,683,233,1,Full
131,0,130,109,237,6,0.554,683,233,1,Full
132,0,131,855,296,6,0.554,683,233,1,Full
133,0,132,393,317,6,0.554,683,233,1,Full
134,0,133,637,393,6,0.554,683,233,1,Full
135,0,134,632,527,6,0.554,683,233,1,Full
136,0,135,1026,576,6,0.554,683,233,1,Full
137,0,136,758,710,6,0.554,683,233,1,Full
138,0,137,350,792,6,0.554,683,233,1,Full
139,0,138,1844,1159,6,0.554,683,233,1,Full
140,0,139,719,1252,6,0.554,683,233,1,Full
141,0,140,682,1331,6,0.554,683,233,1,Full
142,0,141,1343,1565,6,0.554,683,233,1,Full
143,0,142,1949,1823,6,0.554,683,233,1,Full
144,0,143,677,107,6,0.549,683,233,1,Full
145,0,144,215,267,8,0.549,683,233,1,Full
146,0,145,662,219,7,0.549,683,233,1,Full
147,0,146,652,265,6,0.549,683,233,1,Full
148,0,147,916,312,7,0.549,683,233,1,Full
149,0,148,1959,558,7,0.549,683,233,1,Full
150,0,149,266,1600,7,0.549,683,233,1,Full
151,0,150,1297,1807,7,0.549,683,233,1,Full
152,0,151,1395,313,6,0.549,683,233,1,Full
153,0,152,1108,323,6,0.549,683,233,1,Full
154,0,153,428,613,6,0.549,683,233,1,Full
155,0,154,1732,614,6,0.549,683,233,1,Full
156,0,155,389,688,6,0.549,683,233,1,Full
157,0,156,151,758,6,0.549,683,233,1,Full
158,0,157,657,1201,6,0.549,683,233,1,Full
159,0,158,959,1264,6,0.549,683,233,1,Full
160,0,159,1468,1330,6,0.549,683,233,1,Full
161,0,160,1342,1362,6,0.549,683,233,1,Full
162,0,161,586,1410,6,0.549,683,233,1,Full
163,0,162,1784,24,6,0.545,683,233,1,Full
164,0,163,1145,69,7,0.545,683,233,1,Full
165,0,164,1586,1659,8,0.545,683,233,1,Full
166,0,165,659,62,6,0.545,683,233,1,Full
167,0,166,651,121,7,0.545,683,233,1,Full
168,0,167,472,225,6,0.545,683,233,1,Full
169,0,168,1582,290,6,0.545,683,233,1,Full
170,0,169,1321,647,6,0.545,683,233,1,Full
171,0,170,706,719,6,0.545,683,233,1,Full
172,0,171,429,248,7,0.545,683,233,1,Full
173,0,172,117,909,6,0.545,683,233,1,Full
174,0,173,1530,1289,6,0.545,683,233,1,Full
175,0,174,555,1770,6,0.545,683,233,1,Full
176,0,175,139,342,7,0.545,683,233,1,Full
177,0,176,381,390,7,0.545,683,233,1,Full
178,0,177,1665,469,7,0.545,683,233,1,Full
179,0,178,1061,715,7,0.545,683,233,1,Full
180,0,179,1008,756,7,0.545,683,233,1,Full
181,0,180,1160,1073,7,0.545,683,233,1,Full
182,0,181,1415,1677,7,0.545,683,233,1,Full
183,0,182,1231,323,8,0.541,683,233,1,Full
184,0,183,348,363,8,0.541,683,233,1,Full
185,0,184,293,30,7,0.541,683,233,1,Full
186,0,185,1734,321,7,0.541,683,233,1,Full
187,0,186,640,445,7,0.541,683,233,1,Full
188,0,187,708,454,7,0.541,683,233,1,Full
189,0,188,1037,91,6,0.541,683,233,1,Full
190,0,189,1879,561,7,0.541,683,233,1,Full
191,0,190,922,638,7,0.541,683,233,1,Full
192,0,191,991,805,7,0.541,683,233,1,Full
193,0,192,731,98,6,0.541,683,233,1,Full
194,0,193,17,1922,7,0.541,683,233,1,Full
195,0,194,832,148,6,0.541,683,233,1,Full
196,0,195,1371,232,6,0.541,683,233,1,Full
197,0,196,1703,236,6,0.541,683,233,1,Full
198,0,197,1201,453,6,0.541,683,233,1,Full
199,0,198,1221,453,6,0.541,683,233,1,Full
200,0,199,490,491,6,0.541,683,233,1,Full
201,0,200,753,509,6,0.541,683,233,1,Full
202,0,201,1103,614,6,0.541,683,233,1,Full
203,0,202,1544,748,6,0.541,683,233,1,Full
204,0,203,570,874,6,0.541,683,233,1,Full
205,0,204,216,945,6,0.541,683,233,1,Full
206,0,205,1142,1138,6,0.541,683,233,1,Full
207,0,206,1312,1205,6,0.541,683,233,1,Full
208,0,207,1646,1272,6,0.541,683,233,1,Full
209,0,208,808,1509,6,0.541,683,233,1,Full
210,0,209,252,1546,6,0.541,683,233,1,Full
211,0,210,733,118,9,0.536,683,233,1,Full
212,0,211,48,110,6,0.536,683,233,1,Full
213,0,212,2003,59,7,0.536,683,233,1,Full
214,0,213,1091,90,7,0.536,683,233,1,Full
215,0,214,1859,289,8,0.536,683,233,1,Full
216,0,215,1236,271,7,0.536,683,233,1,Full
217,0,216,590,114,6,0.536,683,233,1,Full
218,0,217,1388,1601,8,0.536,683,233,1,Full
219,0,218,320,484,7,0.536,683,233,1,Full
220,0,219,1195,540,7,0.536,683,233,1,Full
221,0,220,548,172,6,0.536,683,233,1,Full
222,0,221,265,556,7,0.536,683,233,1,Full
223,0,222,528,185,6,0.536,683,233,1,Full
224,0,223,1730,204,6,0.536,683,233,1,Full
225,0,224,828,645,7,0.536,683,233,1,Full
226,0,225,62,234,6,0.536,683,233,1,Full
227,0,226,318,262,6,0.536,683,233,1,Full
228,0,227,983,1198,7,0.536,683,233,1,Full
229,0,228,47,1239,7,0.536,683,233,1,Full
230,0,229,1760,1474,7,0.536,683,233,1,Full
231,0,230,544,1742,7,0.536,683,233,1,Full
232,0,231,1685,276,6,0.536,683,233,1,Full
233,0,232,705,279,6,0.536,683,233,1,Full
234,0,233,1360,368,6,0.536,683,233,1,Full
235,0,234,470,426,6,0.536,683,233,1,Full
236,0,235,682,588,6,0.536,683,233,1,Full
237,0,236,687,617,6,0.536,683,233,1,Full
238,0,237,493,926,6,0.536,683,233,1,Full
239,0,238,1271,1055,6,0.536,683,233,1,Full
240,0,239,726,1066,6,0.536,683,233,1,Full
241,0,240,1469,1072,6,0.536,683,233,1,Full
242,0,241,512,1203,6,0.536,683,233,1,Full
243,0,242,366,1204,6,0.536,683,233,1,Full
244,0,243,1731,1255,6,0.536,683,233,1,Full
245,0,244,279,1304,6,0.536,683,233,1,Full
246,0,245,504,1309,6,0.536,683,233,1,Full
247,0,246,1855,1471,6,0.536,683,233,1,Full
248,0,247,178,1564,6,0.536,683,233,1,Full
249,0,248,1425,1593,6,0.536,683,233,1,Full
250,0,249,1185,1724,6,0.536,683,233,1,Full
251,0,250,1098,1726,6,0.536,683,233,1,Full
252,0,251,992,1805,6,0.536,683,233,1,Full
253,0,252,639,1809,6,0.536,683,233,1,Full
254,0,253,2033,1992,6,0.536,683,233,1,Full
255,0,254,2015,54,9,0.532,683,233,1,Full
256,0,255,519,162,6,0.532,683,233,1,Full
257,0,256,1147,14,7,0.532,683,233,1,Full
258,0,257,1096,98,8,0.532,683,233,1,Full
259,0,258,839,432,7,0.532,683,233,1,Full
260,0,259,147,299,10,0.532,683,233,1,Full
261,0,260,50,169,6,0.532,683,233,1,Full
262,0,261,1436,1695,8,0.532,683,233,1,Full
263,0,262,45,553,7,0.532,683,233,1,Full
264,0,263,1722,171,6,0.532,683,233,1,Full
265,0,264,1413,174,6,0.532,683,233,1,Full
266,0,265,1421,304,6,0.532,683,233,1,Full
267,0,266,198,685,6,0.532,683,233,1,Full
268,0,267,1027,713,6,0.532,683,233,1,Full
269,0,268,1041,715,6,0.532,683,233,1,Full
270,0,269,661,716,6,0.532,683,233,1,Full
271,0,270,826,1482,7,0.532,683,233,1,Full
272,0,271,1765,804,6,0.532,683,233,1,Full
273,0,272,339,822,6,0.532,683,233,1,Full
274,0,273,84,1100,6,0.532,683,233,1,Full
275,0,274,1407,1118,6,0.532,683,233,1,Full
276,0,275,1293,1186,6,0.532,683,233,1,Full
277,0,276,665,1651,6,0.532,683,233,1,Full
278,0,277,1936,2015,6,0.532,683,233,1,Full
279,0,278,252,203,8,0.528,683,233,1,Full
280,0,279,1411,319,8,0.528,683,233,1,Full
281,0,280,717,261,7,0.528,683,233,1,Full
282,0,281,1346,494,7,0.528,683,233,1,Full
283,0,282,491,1975,8,0.528,683,233,1,Full
284,0,283,1943,333,12,0.528,683,233,1,Full
285,0,284,422,1482,11,0.528,683,233,1,Full
286,0,285,1157,21,6,0.528,683,233,1,Full
287,0,286,143,836,7,0.528,683,233,1,Full
288,0,287,1782,45,6,0.528,683,233,1,Full
289,0,288,1282,76,6,0.528,683,233,1,Full
290,0,289,462,161,6,0.528,683,233,1,Full
291,0,290,195,207,6,0.528,683,233,1,Full
292,0,291,895,909,7,0.528,683,233,1,Full
293,0,292,451,233,6,0.528,683,233,1,Full
294,0,293,87,235,6,0.528,683,233,1,Full
295,0,294,368,260,6,0.528,683,233,1,Full
296,0,295,709,1116,7,0.528,683,233,1,Full
297,0,296,1343,1639,7,0.528,683,233,1,Full
298,0,297,713,372,6,0.528,683,233,1,Full
299,0,298,1581,400,6,0.528,683,233,1,Full
300,0,299,1548,422,6,0.528,683,233,1,Full
301,0,300,991,449,6,0.528,683,233,1,Full
302,0,301,1746,466,6,0.528,683,233,1,Full
303,0,302,625,565,6,0.528,683,233,1,Full
304,0,303,1072,660,6,0.528,683,233,1,Full
305,0,304,712,714,6,0.528,683,233,1,Full
306,0,305,599,830,6,0.528,683,233,1,Full
307,0,306,217,854,6,0.528,683,233,1,Full
308,0,307,541,921,6,0.528,683,233,1,Full
309,0,308,721,983,6,0.528,683,233,1,Full
310,0,309,1612,1076,6,0.528,683,233,1,Full
311,0,310,133,1091,6,0.528,683,233,1,Full
312,0,311,1044,1228,6,0.528,683,233,1,Full
313,0,312,1318,1259,6,0.528,683,233,1,Full
314,0,313,975,1309,6,0.528,683,233,1,Full
315,0,314,1069,1475,6,0.528,683,233,1,Full
316,0,315,1426,1573,6,0.528,683,233,1,Full
317,0,316,439,1582,6,0.528,683,233,1,Full
318,0,317,989,1607,6,0.528,683,233,1,Full
319,0,318,1399,1686,6,0.528,683,233,1,Full
320,0,319,1717,1756,6,0.528,683,233,1,Full
321,0,320,1663,1769,6,0.528,683,233,1,Full
322,0,321,1375,1955,6,0.528,683,233,1,Full
323,0,322,907,1972,6,0.528,683,233,1,Full
324,0,323,1406,947,9,0.524,683,233,1,Full
325,0,324,1036,45,7,0.524,683,233,1,Full
326,0,325,1300,1798,9,0.524,683,233,1,Full
327,0,326,1803,166,7,0.524,683,233,1,Full
328,0,327,1253,22,6,0.524,683,233,1,Full
329,0,328,1348,181,7,0.524,683,233,1,Full
330,0,329,1868,1429,8,0.524,683,233,1,Full
331,0,330,103,1840,9,0.524,683,233,1,Full
332,0,331,104,116,6,0.524,683,233,1,Full
333,0,332,1680,131,6,0.524,683,233,1,Full
334,0,333,405,236,7,0.524,683,233,1,Full
335,0,334,1587,441,7,0.524,683,233,1,Full
336,0,335,228,159,6,0.524,683,233,1,Full
337,0,336,1334,167,6,0.524,683,233,1,Full
338,0,337,356,169,6,0.524,683,233,1,Full
339,0,338,1176,758,7,0.524,683,233,1,Full
340,0,339,769,175,6,0.524,683,233,1,Full
341,0,340,2004,212,6,0.524,683,233,1,Full
342,0,341,686,281,6,0.524,683,233,1,Full
343,0,342,1603,943,7,0.524,683,233,1,Full
344,0,343,977,1625,7,0.524,683,233,1,Full
345,0,344,1051,361,6,0.524,683,233,1,Full
346,0,345,1002,1939,7,0.524,683,233,1,Full
347,0,346,1336,375,6,0.524,683,233,1,Full
348,0,347,556,430,6,0.524,683,233,1,Full
349,0,348,1282,488,6,0.524,683,233,1,Full
350,0,349,877,518,6,0.524,683,233,1,Full
351,0,350,1612,564,6,0.524,683,233,1,Full
352,0,351,720,740,6,0.524,683,233,1,Full
353,0,352,845,864,6,0.524,683,233,1,Full
354,0,353,48,1066,6,0.524,683,233,1,Full
355,0,354,444,1172,6,0.524,683,233,1,Full
356,0,355,793,1296,6,0.524,683,233,1,Full
357,0,356,276,1335,6,0.524,683,233,1,Full
358,0,357,951,1576,6,0.524,683,233,1,Full
359,0,358,970,1665,6,0.524,683,233,1,Full
360,0,359,48,1774,6,0.524,683,233,1,Full
361,0,360,404,1793,6,0.524,683,233,1,Full
362,0,361,1393,1993,6,0.524,683,233,1,Full
363,0,362,1308,115,7,0.519,683,233,1,Full
364,0,363,159,183,9,0.519,683,233,1,Full
365,0,364,131,19,6,0.519,683,233,1,Full
366,0,365,1991,67,8,0.519,683,233,1,Full
367,0,366,1849,48,6,0.519,683,233,1,Full
368,0,367,1693,131,7,0.519,683,233,1,Full
369,0,368,119,374,8,0.519,683,233,1,Full
370,0,369,1298,72,6,0.519,683,233,1,Full
371,0,370,120,414,8,0.519,683,233,1,Full
372,0,371,2033,270,9,0.519,683,233,1,Full
373,0,372,1697,140,6,0.519,683,233,1,Full
374,0,373,1816,265,7,0.519,683,233,1,Full
375,0,374,1149,621,8,0.519,683,233,1,Full
376,0,375,124,297,7,0.519,683,233,1,Full
377,0,376,1616,56,15,0.519,683,233,1,Full
378,0,377,1105,143,6,0.519,683,233,1,Full
379,0,378,1988,335,7,0.519,683,233,1,Full
380,0,379,86,403,7,0.519,683,233,1,Full
381,0,380,1813,469,7,0.519,683,233,1,Full
382,0,381,1413,162,11,0.519,683,233,1,Full
383,0,382,315,471,7,0.519,683,233,1,Full
384,0,383,1616,162,6,0.519,683,233,1,Full
385,0,384,1593,191,6,0.519,683,233,1,Full
386,0,385,1166,571,7,0.519,683,233,1,Full
387,0,386,923,594,7,0.519,683,233,1,Full
388,0,387,143,200,6,0.519,683,233,1,Full
389,0,388,603,650,7,0.519,683,233,1,Full
390,0,389,1901,255,6,0.519,683,233,1,Full
391,0,390,491,268,6,0.519,683,233,1,Full
392,0,391,1390,1102,7,0.519,683,233,1,Full
393,0,392,158,330,6,0.519,683,233,1,Full
394,0,393,1453,1540,7,0.519,683,233,1,Full
395,0,394,487,344,6,0.519,683,233,1,Full
396,0,395,1070,1986,10,0.519,683,233,1,Full
397,0,396,1895,1964,7,0.519,683,233,1,Full
398,0,397,1132,400,6,0.519,683,233,1,Full
399,0,398,593,510,6,0.519,683,233,1,Full
400,0,399,1074,703,6,0.519,683,233,1,Full
401,0,400,509,1995,7,0.519,683,233,1,Full
402,0,401,903,900,6,0.519,683,233,1,Full
403,0,402,1298,1008,6,0.519,683,233,1,Full
404,0,403,745,1055,6,0.519,683,233,1,Full
405,0,404,162,1256,6,0.519,683,233,1,Full
406,0,405,1550,1435,6,0.519,683,233,1,Full
407,0,406,1062,1454,6,0.519,683,233,1,Full
408,0,407,1193,1506,6,0.519,683,233,1,Full
409,0,408,883,1736,6,0.519,683,233,1,Full
410,0,409,858,1975,6,0.519,683,233,1,Full
411,0,410,725,2006,6,0.519,683,233,1,Full
412,0,411,2040,2015,6,0.519,683,233,1,Full
413,0,412,424,192,9,0.515,683,233,1,Full
414,0,413,643,515,9,0.515,683,233,1,Full
415,0,414,345,161,8,0.515,683,233,1,Full
416,0,415,242,214,8,0.515,683,233,1,Full
417,0,416,1672,47,6,0.515,683,233,1,Full
418,0,417,313,445,8,0.515,683,233,1,Full
419,0,418,926,92,7,0.515,683,233,1,Full
420,0,419,1164,314,7,0.515,683,233,1,Full
421,0,420,320,84,6,0.515,683,233,1,Full
422,0,421,1944,122,6,0.515,683,233,1,Full
423,0,422,1223,515,8,0.515,683,233,1,Full
424,0,423,1389,143,6,0.515,683,233,1,Full
425,0,424,1298,693,8,0.515,683,233,1,Full
426,0,425,844,373,7,0.515,683,233,1,Full
427,0,426,739,846,8,0.515,683,233,1,Full
428,0,427,1003,150,6,0.515,683,233,1,Full
429,0,428,1625,165,6,0.515,683,233,1,Full
430,0,429,2042,1149,8,0.515,683,233,1,Full
431,0,430,1537,385,7,0.515,683,233,1,Full
432,0,431,1782,2028,8,0.515,683,233,1,Full
433,0,432,211,193,6,0.515,683,233,1,Full
434,0,433,410,445,7,0.515,683,233,1,Full
435,0,434,456,204,6,0.515,683,233,1,Full
436,0,435,741,268,6,0.515,683,233,1,Full
437,0,436,627,291,6,0.515,683,233,1,Full
438,0,437,1056,402,6,0.515,683,233,1,Full
439,0,438,1035,449,6,0.515,683,233,1,Full
440,0,439,895,599,6,0.515,683,233,1,Full
441,0,440,1537,600,6,0.515,683,233,1,Full
442,0,441,1070,448,7,0.515,683,233,1,Full
443,0,442,450,606,6,0.515,683,233,1,Full
444,0,443,160,659,6,0.515,683,233,1,Full
445,0,444,1811,489,7,0.515,683,233,1,Full
446,0,445,1003,573,7,0.515,683,233,1,Full
447,0,446,826,659,6,0.515,683,233,1,Full
448,0,447,1881,758,7,0.515,683,233,1,Full
449,0,448,402,667,6,0.515,683,233,1,Full
450,0,449,244,826,6,0.515,683,233,1,Full
451,0,450,1360,847,6,0.515,683,233,1,Full
452,0,451,1287,832,7,0.515,683,233,1,Full
453,0,452,1407,1129,7,0.515,683,233,1,Full
454,0,453,396,1222,7,0.515,683,233,1,Full
455,0,454,617,1014,6,0.515,683,233,1,Full
456,0,455,1401,1108,6,0.515,683,233,1,Full
457,0,456,967,1463,7,0.515,683,233,1,Full
458,0,457,1475,1327,6,0.515,683,233,1,Full
459,0,458,421,1409,6,0.515,683,233,1,Full
460,0,459,1142,1515,7,0.515,683,233,1,Full
461,0,460,1584,1569,7,0.515,683,233,1,Full
462,0,461,1042,1434,6,0.515,683,233,1,Full
463,0,462,786,1473,6,0.515,683,233,1,Full
464,0,463,1279,1680,7,0.515,683,233,1,Full
465,0,464,811,1752,7,0.515,683,233,1,Full
466,0,465,1916,1509,6,0.515,683,233,1,Full
467,0,466,1854,1547,6,0.515,683,233,1,Full
468,0,467,768,1570,6,0.515,683,233,1,Full
469,0,468,941,1650,6,0.515,683,233,1,Full
470,0,469,447,1704,6,0.515,683,233,1,Full
471,0,470,1334,1706,6,0.515,683,233,1,Full
472,0,471,939,1825,6,0.515,683,233,1,Full
473,0,472,1654,130,9,0.511,683,233,1,Full
474,0,473,72,94,8,0.511,683,233,1,Full
475,0,474,287,308,8,0.511,683,233,1,Full
476,0,475,489,371,9,0.511,683,233,1,Full
477,0,476,454,32,6,0.511,683,233,1,Full
478,0,477,1619,338,8,0.511,683,233,1,Full
479,0,478,511,152,7,0.511,683,233,1,Full
480,0,479,715,794,8,0.511,683,233,1,Full
481,0,480,1689,184,7,0.511,683,233,1,Full
482,0,481,257,1415,9,0.511,683,233,1,Full
483,0,482,1190,907,8,0.511,683,233,1,Full
484,0,483,1471,84,6,0.511,683,233,1,Full
485,0,484,80,216,7,0.511,683,233,1,Full
486,0,485,490,106,6,0.511,683,233,1,Full
487,0,486,855,977,8,0.511,683,233,1,Full
488,0,487,1709,1567,8,0.511,683,233,1,Full
489,0,488,460,230,7,0.511,683,233,1,Full
490,0,489,884,110,6,0.511,683,233,1,Full
491,0,490,913,125,6,0.511,683,233,1,Full
492,0,491,871,271,7,0.511,683,233,1,Full
493,0,492,2005,1664,8,0.511,683,233,1,Full
494,0,493,446,1732,8,0.511,683,233,1,Full
495,0,494,989,397,7,0.511,683,233,1,Full
496,0,495,1692,162,6,0.511,683,233,1,Full
497,0,496,1180,166,6,0.511,683,233,1,Full
498,0,497,1343,1180,11,0.511,683,233,1,Full
499,0,498,1366,413,7,0.511,683,233,1,Full
500,0,499,1195,182,6,0.511,683,233,1,Full
501,0,500,614,229,6,0.511,683,233,1,Full
502,0,501,1565,242,6,0.511,683,233,1,Full
503,0,502,1780,541,7,0.511,683,233,1,Full
504,0,503,1204,542,7,0.511,683,233,1,Full
505,0,504,684,776,7,0.511,683,233,1,Full
506,0,505,1748,791,7,0.511,683,233,1,Full
507,0,506,444,255,6,0.511,683,233,1,Full
508,0,507,44,337,6,0.511,683,233,1,Full
509,0,508,1391,878,7,0.511,683,233,1,Full
510,0,509,429,402,6,0.511,683,233,1,Full
511,0,510,1975,445,6,0.511,683,233,1,Full
512,0,511,1364,496,6,0.511,683,233,1,Full
513,0,512,928,513,6,0.511,683,233,1,Full
514,0,513,1557,912,7,0.511,683,233,1,Full
515,0,514,465,515,6,0.511,683,233,1,Full
516,0,515,2031,1001,7,0.511,683,233,1,Full
517,0,516,345,1104,7,0.511,683,233,1,Full
518,0,517,1772,1617,7,0.511,683,233,1,Full
519,0,518,1832,553,6,0.511,683,233,1,Full
520,0,519,281,589,6,0.511,683,233,1,Full
521,0,520,66,602,6,0.511,683,233,1,Full
522,0,521,913,604,6,0.511,683,233,1,Full
523,0,522,1228,703,6,0.511,683,233,1,Full
524,0,523,1261,1027,6,0.511,683,233,1,Full
525,0,524,1120,1150,6,0.511,683,233,1,Full
526,0,525,233,1188,6,0.511,683,233,1,Full
527,0,526,301,1241,6,0.511,683,233,1,Full
528,0,527,1487,1264,6,0.511,683,233,1,Full
529,0,528,89,1307,6,0.511,683,233,1,Full
530,0,529,1589,1336,6,0.511,683,233,1,Full
531,0,530,2004,1472,6,0.511,683,233,1,Full
532,0,531,755,1498,6,0.511,683,233,1,Full
533,0,532,1517,1722,6,0.511,683,233,1,Full
534,0,533,1214,1824,6,0.511,683,233,1,Full
535,0,534,2040,1836,6,0.511,683,233,1,Full
536,0,535,454,2038,6,0.511,683,233,1,Full
537,0,536,16,29,6,0.506,683,233,1,Full
